"STATISTIC","Statistic Label","TLIST(A1)","Year","C03803V04563","NACE Sector of Payee","UNIT","VALUE"
"ETA07C01","Pollution and Resource Taxes","2013","2013","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","5"
"ETA07C01","Pollution and Resource Taxes","2013","2013","04","Households and non-residents","€m","40"
"ETA07C01","Pollution and Resource Taxes","2014","2014","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","02","Industry (05-43)","€m","7"
"ETA07C01","Pollution and Resource Taxes","2014","2014","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","25","Metals, machinery and equipment (24-33)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2014","2014","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2014","2014","03","Services (45-96)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2014","2014","31","Wholesale and retail trade (45-47)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2014","2014","32","Transport, postal and warehousing (49-53)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","34","Information and computing (62-63)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","35","Rental and leasing (77)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2014","2014","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2014","2014","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","4"
"ETA07C01","Pollution and Resource Taxes","2014","2014","04","Households and non-residents","€m","31"
"ETA07C01","Pollution and Resource Taxes","2015","2015","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","02","Industry (05-43)","€m","7"
"ETA07C01","Pollution and Resource Taxes","2015","2015","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2015","2015","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2015","2015","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","25","Metals, machinery and equipment (24-33)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2015","2015","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2015","2015","03","Services (45-96)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2015","2015","31","Wholesale and retail trade (45-47)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2015","2015","32","Transport, postal and warehousing (49-53)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2015","2015","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","34","Information and computing (62-63)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2015","2015","35","Rental and leasing (77)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2015","2015","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2015","2015","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","4"
"ETA07C01","Pollution and Resource Taxes","2015","2015","04","Households and non-residents","€m","30"
"ETA07C01","Pollution and Resource Taxes","2016","2016","01","Agriculture, forestry and fishing (01-03)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","02","Industry (05-43)","€m","8"
"ETA07C01","Pollution and Resource Taxes","2016","2016","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2016","2016","22","Food, beverages and tobacco (10-12)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","23","Textiles and pharmaceuticals (13-21)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","24","Plastic and non-metallic minerals (22-23)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","25","Metals, machinery and equipment (24-33)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2016","2016","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2016","2016","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2016","2016","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2016","2016","03","Services (45-96)","€m","13"
"ETA07C01","Pollution and Resource Taxes","2016","2016","31","Wholesale and retail trade (45-47)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","32","Transport, postal and warehousing (49-53)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2016","2016","34","Information and computing (62-63)","€m","4"
"ETA07C01","Pollution and Resource Taxes","2016","2016","35","Rental and leasing (77)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2016","2016","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2016","2016","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","5"
"ETA07C01","Pollution and Resource Taxes","2016","2016","04","Households and non-residents","€m","37"
"ETA07C01","Pollution and Resource Taxes","2017","2017","01","Agriculture, forestry and fishing (01-03)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2017","2017","02","Industry (05-43)","€m","6"
"ETA07C01","Pollution and Resource Taxes","2017","2017","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","23","Textiles and pharmaceuticals (13-21)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","25","Metals, machinery and equipment (24-33)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2017","2017","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","28","Construction (41-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2017","2017","03","Services (45-96)","€m","8"
"ETA07C01","Pollution and Resource Taxes","2017","2017","31","Wholesale and retail trade (45-47)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2017","2017","32","Transport, postal and warehousing (49-53)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","34","Information and computing (62-63)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2017","2017","35","Rental and leasing (77)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","36","Public administration (84)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2017","2017","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","5"
"ETA07C01","Pollution and Resource Taxes","2017","2017","04","Households and non-residents","€m","32"
"ETA07C01","Pollution and Resource Taxes","2018","2018","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","02","Industry (05-43)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2018","2018","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","23","Textiles and pharmaceuticals (13-21)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","25","Metals, machinery and equipment (24-33)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","28","Construction (41-43)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2018","2018","03","Services (45-96)","€m","9"
"ETA07C01","Pollution and Resource Taxes","2018","2018","31","Wholesale and retail trade (45-47)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2018","2018","32","Transport, postal and warehousing (49-53)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","33","Accommodation and food (55-56)","€m","0"
